era,zero_pred,filter_off_s0,filter_on_s0,c4_random_s0
0478,0.0016079839603182257,0.003680266946455436,0.0052431956431340425,-0.002028589845875575
0479,0.010824787728374677,0.009174195995363803,0.006123292330741442,0.0038503232917766945
0480,-0.03308182706285415,0.003591240497187545,-0.0017942183991842423,-0.001036542763179617
0481,-0.04713439450341649,0.027303915207874493,0.020211101736093702,0.025016535850922877
0482,0.03032609942558464,0.010833481307069303,0.005877265765306418,0.03127416983019451
0483,0.017007462645031345,0.044289641741387255,0.03390655709869431,0.0523057848540265
0484,-0.001768834015569036,0.019625731126016448,0.019524022560670828,0.041641336673044614
0485,-0.02265635120393579,0.015352146968022479,0.01927836022285585,0.010232978459062464
0486,0.02608577283638878,-0.002879603074390228,-0.008105207608684776,-0.005928909079335751
0487,-0.0018806473545701797,-0.002411427767376226,-0.0023237463126813854,-0.00020545816596849066
0488,0.020443371337999165,-0.018170589751444838,-0.016786849416501225,-0.008725227101785407
0489,0.02561799325658273,-0.010673041739065275,-0.01134370410579534,-0.01150923151933914
0490,0.020039847489114082,0.01907228706886934,0.016695574424895002,0.01845931962743199
0491,0.004957082081958855,0.02873951510709126,0.027554674905130905,0.014552654938252634
0492,0.01569142124101432,0.006098214259374522,-0.0034676418513152085,0.012950133820375818
0493,-0.028554318190543822,0.01797374347511131,0.008820638538947842,0.0035264089270380813
0494,-0.029290195719339347,0.025433744518665202,0.01941627230317022,0.021901795133995525
0495,-0.0063612267047456,0.025064756533414275,0.022945585190216566,0.011276839886709415
0496,-0.011651763636435717,-0.0007278474364385977,-0.00012914868333683074,0.003253820162744642
0497,-0.021025293326410285,0.022313909227975992,0.024976638367776187,0.025753871737109805
0498,0.030803839773075523,0.018767794181962533,0.017877201371939697,0.013974026978366983
0499,0.023054164538018323,0.03444761190438196,0.034345205736332776,0.018270050317817116
0500,0.009117661037645237,0.00854178250175449,0.0012557083991507638,0.010740002323387957
0501,0.01916104845283927,0.01629186072562348,0.015564546991341717,0.01358256556944043
0502,-0.0017819459345314711,0.011936946965502283,0.0033062377639997333,0.016049948974806383
0503,-0.026546464458692232,0.0354826705580282,0.03211194019427434,0.026673321988598866
0504,0.021624183766202024,-0.024935209620974907,-0.021979512090714068,-0.018298464043308264
0505,-0.02590453844909509,0.007518720738201614,0.0022473309765514466,0.02032377985300365
0506,-0.00825026995646157,0.009506149537480541,0.010456978450350866,0.008484130377959998
0507,0.007662646978928306,-0.03218738419261024,-0.023917283723101476,-0.014697812775323778
0508,-0.015561966059739998,-0.0005046893604969035,-0.009516573534195941,0.008112126024386306
0509,0.0018824216606975889,0.02191157335610427,0.025502097035834236,0.025651645479954736
0510,-0.023039921654178577,0.009477893886200295,0.0071478597377052835,0.011780249310632955
0511,-0.027819647898376945,-0.004056365093021184,-0.012372983802598816,-0.004616239285344253
0512,0.003318993534422098,-0.025526963493287647,-0.03270090903041064,-0.024599501254072953
0513,0.0002310347335916516,-0.015088184182617235,-0.017201385628064877,-0.017793606543993784
0514,0.009311478451291422,-0.00022215193734251195,-0.003406737704867695,-0.020029981613322572
0515,0.01604862727603291,-0.010322815309913552,-0.01101405642111955,-0.012880361098548267
0516,0.0661478936274738,0.01097779382701023,0.011542592831372734,0.02874938731187398
0517,0.007231278074815087,0.004067357151267006,0.003772705927117485,0.018531546299112415
0518,0.012665017431061226,0.015112037064036207,0.016643970325758664,0.02507695022008018
0519,0.009595605439486773,-0.0009064691208988984,0.004581982190247918,-0.017344878335384516
0520,-0.030294578787566317,-0.03198101929093219,-0.024457633849235428,-0.01954786846519751
0521,-0.015131695581037843,-0.04482285392184369,-0.04307286399731231,-0.05039003313223636
0522,0.014653636967316334,-0.025571408371695595,-0.02960428335834124,-0.019633373015535742
0523,-0.018863447873926638,0.0018940446836567403,-0.008391707057251514,-0.020691347096411405
0524,-0.02963558485065864,0.0107119383006733,0.004902993481051039,0.002915224289666013
0525,0.004153903778897297,0.025248770940618236,0.016397385168706223,0.025213177789894133
0526,-0.023091562792092728,0.027594152663394426,0.03316064183006184,0.023877314318896663
0527,-0.013815443321285594,-0.008183995454383072,-0.009568588949796758,-0.02274365831366832
0528,0.0058870881913329065,0.005994941649816512,0.009014536946806371,-0.008118249517706809
0529,-0.004845180386477218,0.012618590730844677,0.021961846399773114,0.008212732662315647
0530,0.011752552064829672,0.018082263892834495,0.026494108826617638,0.005321393433003436
0531,-0.0032559428102350314,-0.013428726676516756,-0.008682149357169567,-0.009781536994129017
0532,-0.018502450226157412,0.007339698226724342,0.006244427146476058,0.004670494989067455
0533,0.004974177872924165,-0.001555646204240174,-0.0009672161108476378,0.012848937401181733
0534,0.011581082693616353,0.012023298524744834,0.008059468592468219,0.03003606345974515
0535,0.012347722119814386,0.030259633119564436,0.02617663584498121,0.03159678289906691
0536,0.041805149886517366,0.029758986532561222,0.0285654325345518,0.04752695486428934
0537,-0.00408857043895475,0.03395334050295659,0.03785667962267384,0.0466313990096367
0538,-0.018696153239552,0.006832138770109986,0.011371731938667936,0.01286224545186643
0539,0.006845357433962502,0.026893212105090016,0.021771758838763693,0.011300310027326567
0540,0.002688140234183723,0.01265731545670958,0.004513504723458712,0.004464126100467843
0541,0.016619824382237844,-0.011197159494008619,-0.01953756531532058,-0.037537169838282376
0542,-0.026292241158246268,-0.01992929801220152,-0.024571714559818162,-0.03273994326200482
0543,-0.016581909021892136,-0.03515803742417245,-0.030998326844984946,-0.036312429299940004
0544,0.021815217665009618,-0.01253646322522045,-0.010789468116452046,-0.014322665610351348
0545,-0.03223024176992611,0.015128494720813141,0.014956529567117209,0.01706577632460949
0546,-0.003944663963154417,0.01030943340884962,0.00461675236225554,0.005525279831666256
0547,-0.020411387956148334,0.011275599124778313,0.009193559714466948,0.021365966890194495
0548,0.006798628876179542,0.023509611727804473,0.02081609866224898,0.03081797214718931
0549,-0.015388497944010694,0.04418691131016803,0.04472616214735166,0.051222824595428616
0550,0.0016085106317376512,-0.006733488178595578,-0.007550688261762262,-0.013382745779582832
0551,-0.004771535425450217,0.01620678538284597,0.016184755155498748,0.0038283958624668606
0552,-0.0006338575462827444,-0.005169023078956371,0.0008059168494210074,-0.01778592644823879
0553,0.03224163958297317,-0.04677653639059723,-0.03992797936461847,-0.046497432342339835
0554,-0.04371848865104246,-0.03630391991811588,-0.045906124198343126,-0.0422573072392907
0555,0.007746179744877581,-0.022875237482389024,-0.025737796768731773,-0.022964924145116878
0556,0.0626060200210502,-0.028550598002586157,-0.03398863553143432,-0.025147301542473365
0557,0.053675487984080325,0.014984364629730277,0.013006708607556263,0.013670834027734015
0558,0.009057354108280541,0.05690480252400679,0.047689029853446904,0.06532157065346704
0559,-0.005505070746676165,0.03321509502140572,0.027748317334874775,0.03640362255766908
0560,-0.022332296370924785,0.0040711301678476915,-0.0021622229475005256,0.024354985896641954
0561,-0.0032797784558874126,0.02916394477281056,0.025312649803700214,0.044718120204817205
0562,0.0400981173987717,0.010879928888090378,0.014179548772490549,0.01712640872225415
0563,-0.003336552804171318,-0.0060589418375161545,-0.0007074087468192505,0.017406523011849903
0564,-0.008306846369151816,0.013853473646775204,0.017573235396500297,0.00914722951496183
0565,0.04107827861989009,-0.007080495974745242,0.000190127353544189,-0.0002838023895835043
0566,-0.017586461176353034,-0.02634860075249434,-0.02311338893455678,-0.021401741190164896
0567,0.023472466374848285,0.0005693524944414279,0.0018445514809094382,0.000557829189103901
0568,-0.0010702056435815187,0.001342261972726546,0.002263008348839987,0.013550711700282275
0569,-0.02633937921993409,-0.02782118006467704,-0.02447112078633897,-0.03445230031611286
0570,-0.00018400688526814963,0.0506197318267115,0.04631836827132495,0.03658860821329957
0571,0.002222907150372347,-0.0012357662811147995,-0.008320956408384997,-0.0037532805501054975
0572,0.006166231610815491,-0.005225211234177424,-0.01363868556854668,-0.009086224491489218
0573,0.03605106629659502,-0.020576849908899228,-0.02664727171330384,0.010958582171812782
0574,0.014930006308613237,-0.005535344881009215,-0.00831341272874997,-0.014224836832449112
