era,spearman,numerai_corr,n
0812,-0.014870339292443293,-0.003269547073776948,2560
0813,0.0075348955807356425,0.004214087406958589,2560
0814,0.011767907902130679,0.02068342435726564,2560
0815,-0.0001364000824872596,0.0016154485252477385,2560
0816,-0.005234516429889373,-0.016409918258469384,2560
0817,-0.032613452770591835,-0.027865591274592972,2560
0818,0.003477725487061,0.006355928969277935,2560
0819,-0.02058040956751119,-0.034344798837567324,2560
0820,0.01832687882740407,0.013402298121136061,2560
0821,0.013486569196043827,0.024751566325076697,2560
0822,-0.015169261238078368,-0.010812589785803968,2560
0823,-0.027096201674860976,-0.004488387372511845,2560
0824,-0.012214650044869614,-0.013270845177417003,2560
0825,0.0014495754124826872,0.0030389762769198444,2560
0826,-0.010279193749118802,-0.01739070442998657,2560
0827,-0.019233044447389998,-0.022130000343543534,2560
0828,0.016881214430915267,0.0023027404279217,2560
0829,0.00033382465682175327,-0.004738543069586835,2560
0830,-0.015614081318271711,-0.01092967686803079,2560
0831,-0.009523648403963617,0.012501889607096304,2560
0832,-0.018092851804920214,-0.021663020437893473,2560
0833,0.0019684651065784327,0.0025215961226338272,2560
0834,-0.029212721815266154,-0.013256685431319056,2560
0835,0.0013540550045685973,-0.004966247964807033,2560
0836,-0.023329200267453717,-0.0028595064543044672,2560
0837,0.011237280528975121,0.00590947564571688,2560
0838,-0.003769017553174418,-0.02307807784996867,2560
0839,0.009317514406018718,0.01751221441940076,2560
0840,-0.0147059625098116,-0.006276515276603711,2560
0841,-0.023637089992084942,-0.03005301750403737,2560
0842,-0.010022570432238568,-0.006017457084252105,2560
0843,0.02258334220037295,0.014407878596289236,2560
0844,0.005380525805911972,0.01226790895905941,2560
0845,0.012457232667268149,0.014860209876805365,2560
0846,-0.02789844632582766,-0.031408707300196674,2560
0847,0.0051120466945579245,0.014158730417186786,2560
0848,0.004469254227918049,-0.010337359090373189,2560
0849,-0.013671063921511715,-0.024768320057371902,2560
0850,-0.0376247581957384,-0.025555977074924574,2560
0851,0.028730603745074315,0.011074572976481345,2560
0852,-0.01683692999701109,-0.02211194827511415,2560
0853,0.002047712408863807,-0.003944894902475365,2560
0854,-0.0007483244342884449,0.004726951762128281,2560
0855,0.00830526604946017,-0.008950400137320843,2560
0856,-0.02319186122023957,-0.02171530854827872,2560
0857,0.030314663434990195,0.02799933909972657,2560
0858,0.018800081450951186,0.004910341372549639,2560
0859,-0.010033967628759029,-0.00015690356167154037,2560
0860,0.005943003347313841,0.0023980176354616647,2560
0861,0.00526248958877994,0.0019057962181390283,2560
0862,0.022440394919931946,0.004886252743808832,2560
0863,0.0011660524627707936,-0.01668938507685819,2560
0864,-0.0015101786340716403,0.007830505307491062,2560
0865,-0.012526648432024405,0.004323066109241412,2560
0866,-0.004120743632964954,-0.004083271429949574,2560
0867,0.0288261054058853,0.03121480031924372,2560
0868,-0.010679816052690179,-0.01391920130551867,2560
0869,0.029252370914753155,0.014164855256186127,2560
0870,0.0013595181388979128,0.015289820166442977,2560
0871,0.040542815104685166,0.016857694073105733,2560
0872,-0.02275212747186643,-0.015808680867301583,2560
0873,-0.012577968221378901,-0.0031701415125274133,2560
0874,-0.005982328772083445,-0.029438514696129993,2560
0875,-0.0239384084931451,-0.026879772053397,2560
0876,-0.002036037935769075,-0.0065704072674088706,2560
0877,-0.01347603806362562,-0.027423451350955776,2560
0878,0.046230372220645057,0.03943782222367563,2560
0879,-0.011210278321974944,-0.01544866971569853,2560
0880,0.02532757046782894,0.029573501900757426,2560
0881,-0.013345742334815993,-0.012005779514658439,2560
0882,0.01294604126973081,-0.0017099188192688816,2560
0883,0.014343685214608068,0.029742754681163046,2560
0884,0.0369948664758393,0.02958424188339131,2560
0885,0.005884538919201597,0.006463649092177237,2560
0886,0.006772217364847406,-6.627007569636397e-05,2560
0887,-0.01762221782581227,-0.014136206327971367,2560
0888,0.021377360128944506,-0.003456084972698049,2560
0889,0.012974911793454091,0.025053315874757707,2560
0890,0.03218580882794186,0.029314149652013257,2560
0891,0.019198803809042594,0.027099549240404256,2560
0892,-0.006647384824185278,-0.011296334602147703,2560
0893,-0.01641685101719733,-0.02092363985131247,2560
0894,-0.019970498798175078,-0.005606600499145074,2560
0895,-0.0127126862277846,-0.022502957327650643,2560
0896,0.016211022660146658,0.020674464381315327,2560
0897,-0.007752657930141017,-0.0001610847265073845,2560
0898,0.013818787537073303,0.012274087302558306,2560
0899,-0.0008233759057865629,0.0008868894912381916,2560
0900,-0.005145205126792488,-0.004125401471545328,2560
0901,0.02230627067158829,0.019248750803856594,2560
0902,0.026340210916658044,0.023665594903242708,2560
0903,-0.016950031051211262,-0.03553429212045422,2560
0904,-0.008580253712248848,-0.00846936784169971,2560
0905,0.032270651352669856,0.014372950098238513,2560
0906,0.0052448548492280735,-7.796289939382394e-05,2560
0907,-0.01881607198852406,-0.02727692012572108,2560
0908,0.003657339739181467,0.022388270775629607,2560
0909,0.0010211701846822617,-0.026137534850531875,2560
0910,-0.016910937077049625,-0.024031263511890527,2560
0911,-0.03892438123296454,-0.021424957531880093,2560
0912,0.01962945695165851,0.034537956566071795,2560
0913,-0.009948201098211732,-0.016691186385482795,2560
0914,0.010596585704622097,0.0030857929722795364,2560
0915,0.011039020508382,-0.005424998581295293,2560
0916,-0.0006586301063643302,0.000625103185717051,2560
0917,-0.015543385992610794,-0.0003531289455256816,2560
0918,-0.033329962491186395,-0.03261468781226773,2560
0919,-0.0014450603917523263,0.008249237037680062,2560
0920,0.007808952809241681,-0.002201512747576712,2560
0921,-0.006523510322931922,-0.02326857896843573,2560
0922,-0.028633114417508203,-0.018377946749701897,2560
0923,-0.0020596378365926723,-0.023099234218639304,2560
0924,-0.057174743745757865,-0.0528301949038415,2560
0925,-0.0011437526353686675,0.004059253463259506,2560
0926,-0.008697469209994884,-0.0030288342724288744,2560
0927,0.014729139910759194,-0.003581137989363166,2560
0928,-0.008486032569624333,-0.014072444871674873,2560
0929,-0.022570433317473965,-0.032234217529064225,2560
0930,0.0598654650603179,0.0426837238280225,2560
0931,-0.013487019484955606,0.00043978467288383787,2560
0932,0.0033337325388124077,0.010363429920339343,2560
0933,-0.00019950975118410865,-0.0044345871175861945,2560
0934,0.0036788207732806667,0.003421319364220945,2560
0935,0.012769751207868276,0.013620529964860809,2560
0936,0.015885981738794297,0.021870606884434776,2560
0937,-0.031241714300763952,-0.021434722302060297,2560
0938,0.04002995100918496,0.025702679168580923,2560
0939,0.02773470301458285,0.0341567216330048,2560
0940,0.007535701390672951,0.009872762751407953,2560
0941,-0.027057899070550444,-0.02184411322458399,2560
0942,0.003086358189244579,-0.007490762551092038,2560
0943,-0.0329907431108968,-0.009948735425270257,2560
0944,0.0055567873808043955,0.002020548830388296,2560
0945,0.020483703629291673,0.01977273722263615,2560
0946,0.021882542148895144,0.014422012174058812,2560
0947,0.007324035974921032,0.009440834908370725,2560
0948,-0.019412614810284116,-0.024527786098451944,2560
0949,-0.012665914040928223,-0.00032169245544662334,2560
0950,-0.005588188879867678,-0.0017589157742357614,2560
0951,-0.03186669079543527,-0.021397469200635354,2560
0952,-0.004084180629469463,-0.006023562685590991,2560
0953,-0.03441403946814066,-0.01215295057757515,2560
0954,0.0174842401465457,0.018986335702779317,2560
