era,zero_pred,filter_off_s0,filter_on_s0,c4_random_s0,filter_off_s1,filter_on_s1,c4_random_s1,filter_off_s2,filter_on_s2,c4_random_s2
1073,0.03655979919868295,0.012257971176430342,-0.016308413224286163,0.020733663930327464,0.018926875221387335,0.006372712410637408,0.004239721958481388,-0.01833905409467856,-0.02611316585591804,0.0002759857753994287
1074,0.006911802611017195,-0.0010545045856367222,0.009354850037578305,-0.027925232527931693,0.02456785610311946,-0.01288143821960978,-0.015620613867884986,0.01253697668586328,-0.010500757398667276,0.002194899193631545
1075,0.04157433287718883,-0.013147245307932676,-0.025353655949158605,-0.028664061892276573,0.02201079707646252,-0.00429206754344675,0.03127987347364671,-0.015495570777007419,-0.036321979699245895,-0.003699081715074124
1076,0.016740556793766962,-0.0011713441633240068,0.017167625989872176,-0.015905241704964494,0.003128348727916011,0.02314625009705352,-0.0011056082514093275,-0.025434625098158265,0.002996203567176035,-0.007177099329302275
1077,-0.007595961304667275,0.022901669004450637,0.014089528720426278,0.0155684687389701,0.02615046369165457,-0.03045909805073155,0.0029799003216663847,-0.008710027092783507,-0.01123767271764466,-0.013397164772692307
1078,-0.0044216167390639625,0.018665035632608323,0.027167072663207475,-0.014889831157488188,0.0026154427018540228,-0.01149058932574931,0.011927745707304885,0.01833139297482791,0.009802795340387877,0.02143120421619515
1079,0.03187599325610712,0.02812412109017232,0.016469851838824306,0.010156636509553658,0.009907225430648791,-0.0066715313240150115,-0.008817101604200083,0.028851057501470316,0.030293687230350738,0.016030924161297783
1080,0.004696783245839487,0.024163908714468857,-0.0002107310517277804,-0.01430196845025108,0.03928598459453003,0.005446513368252099,0.04255943382512793,0.0005969505034206584,-0.00016257928046425907,-0.009832031238582969
1081,-0.02081269507833104,0.007705210259733716,0.006130683824552527,-0.007918172796571152,-0.008821022661777683,-0.01528664927878322,0.0006649612871000656,0.007475450379497768,0.016715164646413306,-0.0015071172259015354
1082,-0.020037211948747368,-0.01795768848514919,0.014927490085162047,-0.00360989067226341,-0.007946601789970031,0.02168136458403878,0.02161416451530113,0.0006109453224739334,-0.011396205221100733,-0.017170983859340554
1083,0.010034766582555386,-0.029836097348210827,0.002492560707404861,-0.03972229597902121,-0.0003986606121969416,-0.005937399288481057,0.0017713431795024252,0.01282564897576687,-0.003143689522477524,-0.006030008532656985
