era,zero_pred,filter_off_s0,filter_on_s0,c4_random_s0,gaf_s0
0503,-0.01765272950314387,-0.005900433803717284,-0.008958696221091106,-0.0020454606575698044,0.0033250963566503183
0504,0.020044988881862028,0.03105998230324611,-0.0018040182928190103,-0.015171462019527699,0.012942326620613225
0505,-0.029519159736028932,0.021414451482149155,0.021335067129059176,0.00930354430298065,0.013301975993519777
0506,-0.01877528071096172,0.025246923382103843,0.0267615512755595,0.041479646893427966,0.0444606975638109
0507,0.01859686242784523,-0.0001575115712055787,0.03848179950533714,0.009046367752346173,0.022961746403153866
0508,-0.013076669335137348,0.02336644423562212,0.041979616188200654,0.0012172716966686735,0.0005820543548980142
0509,-0.002252616937749083,-0.005045790755589261,0.021296483169592526,-0.0037516671845101955,-0.0018129062675957648
0510,-0.0065150830139390865,-0.01750241242834645,0.013171965384169444,0.00014951343144282042,0.01189289748492508
0511,-0.02849297352459897,0.04086103316263191,0.007194009237927316,0.018929329346075628,0.01416402645484809
0512,0.005396196281071923,0.06768712855299815,0.02896677568405226,-0.020935178610529362,0.009471642293196626
0513,0.010378269109806586,0.0016331205599325782,-0.011922835197280997,-0.03455599717289626,-0.019285189684885674
0514,0.008505560771842993,0.057339321819777064,0.027667902482152035,0.04685763003204761,0.006537459081376804
0515,0.013220405665767026,0.022015062639314662,-0.003202060704467435,-0.018103981042427476,0.02990639739731333
0516,0.05764930186877592,0.02891471063178489,0.018245962645127657,0.024529708627005337,0.005047453049407903
0517,-0.004838349556350542,0.01819516460776985,0.022093103210041803,0.025549393642331577,0.05492755512670302
0518,0.02069499292684865,-0.03343111582490885,0.012659278950380402,0.0058783241914444504,0.0016822700695001231
0519,0.016621805049576166,-0.007668090039903174,0.0014015021895078625,0.0015823895218522053,0.0267423552271373
0520,-0.025658889661212905,-0.005497624369506067,0.04351590850588768,0.004651115315594564,0.020311805788588787
0521,0.0002900108548537359,0.05075433914347775,0.05006470096063345,0.017445451857995592,0.014324305919566646
0522,0.004988838048136937,-0.008475762505586846,-0.01867352050009102,-0.002267335616762321,0.0021149985226501015
0523,-0.005651505224714782,0.059090906276511014,-0.01748109809408445,0.017948829455160357,-0.037740134277029484
0524,-0.027472762420265525,0.046538511384259774,-0.026185320916932504,0.010453021481878346,-0.0005704752934285586
0525,0.012441344501327313,0.05443522455720792,0.019652765744850358,0.011816716569524675,0.021219752302262626
0526,-0.019700146648068385,0.046593701196685273,0.03239996949928348,0.025229982381184287,0.0007071107865602448
