era,numerai_corr,spearman,n
0669,0.03674628919384158,0.02540588379491924,5750
0670,0.04161657313257518,0.036670189715481714,5709
0671,0.059635721818344124,0.0392654779836046,5707
0672,0.06495953088777859,0.03708761004065894,5691
0673,0.06816854590897621,0.051282705514570495,5713
0674,0.06583567010959909,0.05252995488030932,5669
0675,0.06336271301015674,0.04890283837429394,5701
0676,0.0440857397440546,0.03469045308630103,5663
0677,0.02440930309280032,0.024519251240942088,5662
0678,0.023215647540436885,0.030661896783526932,5589
0679,0.018458646953623717,0.005358856363277721,5683
0680,0.00040533086884500833,-0.004454698953566022,5585
0681,0.017190234219538407,0.0075804142579522504,5550
0682,0.04200037982770527,0.01728097082947662,5677
0683,0.06363152631319208,0.05247536271317374,5735
0684,0.032737453244897755,0.04845675524918313,5705
0685,0.042033927969687454,0.05419787359355638,5627
0686,0.03361789545954837,0.03770402031345763,5624
0687,0.04395932029559534,0.04653720077423849,5612
0688,0.0455018426882013,0.04866879080671689,5675
0689,0.049729026964125574,0.05126798095617359,5684
0690,0.05508531557185235,0.054795019241434276,5770
0691,0.048353410990190894,0.050554368576457044,5850
0692,0.04507664051933214,0.051602639363141765,5753
0693,0.04106957204737464,0.05425356757943518,5694
0694,0.04907438857732064,0.04728370187832815,5675
0695,0.04438756795695497,0.04258999667101286,5699
0696,0.03052419860309215,0.04164287605726566,5681
0697,0.04286080802763489,0.04410684522392596,5649
0698,0.0359140212573814,0.03429442296375603,5642
0699,0.061591387605257335,0.04534048904978699,5624
0700,0.05104399073590383,0.047888420233877634,5594
0701,0.03259454054177646,0.028271635324481275,5610
0702,0.03141693650852351,0.018365289722076204,5585
0703,0.035197198979048626,0.030706589807588287,5641
0704,0.04774722702439837,0.04638238568492795,5656
0705,0.06681356063793303,0.07335972791121247,5760
0706,0.07476936297649903,0.06868658798754126,5734
0707,0.06145869442568323,0.04913156432471261,5757
0708,0.04662050658930283,0.02917780435399823,5708
0709,0.029869433674195228,0.02907278237765495,5681
0710,0.023821457869522746,0.024835142728200903,5722
0711,0.041830587710970396,0.044291118318860435,5709
0712,0.04624202032671658,0.04751262509450292,5685
0713,0.03633245143123058,0.03899170966804674,5686
0714,0.04847160871913321,0.031562026823441884,5683
0715,0.05388893366055793,0.04162328297816277,5650
0716,0.05352530451924264,0.047921018417811954,5684
0717,0.08127670507100725,0.06892461320434577,5779
0718,0.08807849860836012,0.0814183859826817,5760
0719,0.06238444587573999,0.06908128744500494,5740
0720,0.032804153141893444,0.03569943600572259,5688
0721,0.03496447625093012,0.03880779675029308,5649
0722,0.028730925562633444,0.026853380332651274,5618
0723,0.048233665825975186,0.043209315755283896,5631
0724,0.04551287941469943,0.03961914637862846,5703
0725,0.033212188981444214,0.024653474543508323,5798
0726,0.014405498732536185,0.010652214184507099,5815
0727,0.020178648095098835,0.024907953460299025,5830
0728,0.03554877054962565,0.037893175128010895,5793
0729,0.05301198301926508,0.05599916167245969,5842
0730,0.03429852097551843,0.04511251971745841,5837
0731,0.05394647620810518,0.05900484284191328,5699
0732,0.06133974484480667,0.057446449067436844,5634
0733,0.04788670866684758,0.03914980365550494,5594
0734,0.0470703897972021,0.04909072811471802,5616
0735,0.0576490463268603,0.054068796760678314,5694
0736,0.07110000733951802,0.0709561782363025,5713
0737,0.06369902550848122,0.059592535188110383,5742
0738,0.06744248582773303,0.07449014494738262,5817
0739,0.05342744250570285,0.06451984222863735,5891
0740,0.08564680420957727,0.07545391784703379,5938
0741,0.06940451106840537,0.07228308310654635,5948
